Angle[deg] Tangential_modulation Pressure_cycle_[MPa] Tangential_pressure[MPa]
0.0 0.0 19.88069276425157 0.0
0.087890625 0.001970818004886559 19.91225585044708 0.03924343234796883
0.17578125 0.003941628038405409 19.942986639777494 0.07860783530889144
0.263671875 0.005912422129248517 19.971231472532345 0.11807835090654469
0.3515625 0.007883192306227214 19.997907159150053 0.15764734785765783
0.439453125 0.009853930598331864 20.02451516494031 0.19732018270056575
0.52734375 0.011824629034791536 20.05118740792407 0.23709785280578538
0.615234375 0.013795279645133678 20.075438377736184 0.27694628641951946
0.703125 0.015765874459243785 20.096916807270027 0.31684546740128566
0.791015625 0.01773640550742506 20.116966954833508 0.35680268349039695
0.87890625 0.01970686482045805 20.135648570167177 0.396810504444534
0.9667968750000001 0.021677244429660313 20.153174998863605 0.43686530048408556
1.0546875 0.023647536366946047 20.168596914428484 0.4769376290042234
1.142578125 0.025617732664885713 20.184960244612732 0.5170929153978351
1.23046875 0.02758782535676565 20.200226648817903 0.5572803249546718
1.318359375 0.029557806476647696 20.21541756610221 0.5975234002634735
1.40625 0.03152766805942876 20.229081986031026 0.6377757820025561
1.494140625 0.033497402140900426 20.24403001829961 0.6781224144754419
1.58203125 0.03546700075780849 20.261404309244654 0.7186112419902443
1.669921875 0.03743645594791254 20.28134623397694 0.7592617248526397
1.7578125 0.03940575975004547 20.30419788074579 0.8001023436060509
1.845703125 0.04137490420417301 20.327453653012327 0.8410464476081517
1.9335937500000002 0.043343881351453215 20.351292886007457 0.8821040241997811
2.021484375 0.04531268323429592 20.375495578854654 0.9232683769064379
2.109375 0.047281301896422316 20.400286194652267 0.9645520903427702
2.197265625 0.04924972938292421 20.423475170418456 1.005850625201981
2.28515625 0.0512179577403236 20.446515144661447 1.0472287486161564
2.373046875 0.053185979016631975 20.46760970861137 1.0885898604828173
2.4609375 0.05515378526140973 20.48586025351056 1.12987273731737
2.548828125 0.05712136852582553 20.502315312719908 1.1711203086105497
2.63671875 0.05908872086271554 20.517173025739005 1.2123335098099288
2.724609375 0.06105583432664284 20.532077921033448 1.2536031479283396
2.8125 0.06302270097395665 20.546635892437727 1.2949044898698678
2.900390625 0.06498931286285149 20.558425584646784 1.3360779522882604
2.98828125 0.06695566205342655 20.568469258065377 1.3771754765993187
3.076171875 0.06892174060774467 20.578306368137966 1.4182926936515052
3.1640625 0.07088754058989172 20.588338022323313 1.4594566472358548
3.251953125 0.07285305406603547 20.59839499655424 1.5006559843575207
3.33984375 0.0748182731044849 20.60639909338653 1.5417351950690033
3.427734375 0.07678318977574908 20.613764793851708 1.5827906141589707
3.515625 0.07874779615259629 20.620294808888126 1.6238027722167616
3.6035156249999996 0.08071208431011294 20.626939490613957 1.6648432792260317
3.69140625 0.0826760463257626 20.634133758742713 1.7059485985297946
3.779296875 0.0846396742794447 20.64326201244897 1.747238972798915
3.8671875000000004 0.08660296025355374 20.65307232031096 1.788617201269661
3.955078125 0.0885658963330377 20.660225994468057 1.8297914336431886
4.04296875 0.09052847460545718 20.66613466615336 1.870873647317823
4.130859375 0.09249068716104403 20.670846321957953 1.9118607805182306
4.21875 0.09445252609275988 20.67801925766564 1.953091153481255
4.306640625 0.09641398349635508 20.68465825635561 1.9942902997560146
4.39453125 0.09837505147042722 20.688900608698994 2.0352716622473164
4.482421875 0.10033572211647948 20.69187411184675 2.076134130955431
4.5703125 0.10229598753897959 20.69277877048534 2.1167882392524295
4.658203125 0.10425583984541785 20.692827735792974 2.1573481343716527
4.74609375 0.10621527114636588 20.692568340817594 2.197866757034647
4.833984375 0.1081742735555349 20.691462646274196 2.238283940562197
4.921875 0.110132839189834 20.690715469641724 2.278727239540663
5.009765625000001 0.11209096016942857 20.690576892141586 2.3192266302995415
5.09765625 0.11404862861779834 20.69086144700269 2.359764372951531
5.185546875 0.11600583666179574 20.69150842130984 2.4003357462086403
5.2734375 0.11796257643170395 20.695897385842386 2.441341377200134
5.361328125 0.11991884006129486 20.70224309726801 2.482588978891328
5.44921875 0.12187461968788732 20.709354308447608 2.523944680323763
5.537109375 0.12382990745240498 20.716230442401 2.5652888984452105
5.625 0.12578469549943408 20.723289541068283 2.606672664669881
5.712890625000001 0.12773897597728148 20.73042352042396 2.6480830720743076
5.80078125 0.12969274103803244 20.736710595882393 2.6894008372923985
5.888671875 0.13164598283760814 20.742185338446 2.7306253750795495
5.9765625 0.13359869353582363 20.74700718464897 2.771773054647449
6.064453125 0.13555086529644522 20.750611577554203 2.8127633547679065
6.15234375 0.13750249028724815 20.752708252248766 2.8535490648889303
6.240234375 0.13945356068007403 20.752686037540492 2.894035961610678
6.328125 0.14140406865088823 20.750807139782722 2.9342485573551778
6.416015625000001 0.14335400637983736 20.746212393182297 2.974052663769716
6.50390625 0.14530336605130634 20.741100597358532 3.0137517324049554
6.591796875 0.14725213985397584 20.733836985035296 3.053101863429954
6.6796875 0.1492003199808793 20.725590049125415 3.0922646671220395
6.767578125 0.15114789862946004 20.715239307046225 3.131064890866429
6.85546875 0.15309486800162841 20.703754036235743 3.1696384913156925
6.943359375 0.15504122030381856 20.692939102587786 3.2082585301378144
7.03125 0.15698694774704533 20.68271869263478 3.246916878667494
7.119140625000001 0.1589320425469612 20.672854112442536 3.285578929365839
7.207031249999999 0.16087649692391293 20.664965538883287 3.324507264948924
7.294921875000001 0.1628203031029982 20.65894499140729 3.3636956852891013
7.3828125 0.1647634533141222 20.6525081734817 3.402778566260979
7.470703125 0.16670593979205428 20.646028653008862 3.441815609573523
7.55859375 0.16864775477648425 20.64052778396149 3.4809786681667467
